postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy,entreprises
01160,FR,"Varambon, Neuville-sur-Ain, Pont-d'Ain, Priay, La Tranclière, Saint-Martin-du-Mont, Druillat",Auvergne-Rhône-Alpes,84.0,Ain,01,Nantua,014,46.06723062174179,5.326320436395178,5,atelier ain plein d'arts
01340,FR,"Saint-Sulpice, Béréziat, Foissiat, Marsonnas, Montrevel-en-Bresse, Malafretaz, Saint-Didier-d'Aussiat, Attignat, Cras-sur-Reyssouze, Jayat, Étrez",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.341189161383504,5.12638018166888,5,repar' ain velo
01340,FR,"Saint-Sulpice, Béréziat, Foissiat, Marsonnas, Montrevel-en-Bresse, Malafretaz, Saint-Didier-d'Aussiat, Attignat, Cras-sur-Reyssouze, Jayat, Étrez",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.33898941818411,5.1241654325886214,5,dans mon jard'ain
01190,FR,"Reyssouze, Boz, Chevroux, Saint-Bénigne, Ozan, Pont-de-Vaux, Saint-Étienne-sur-Reyssouze, Sermoyer, Chavannes-sur-Reyssouze, Gorrevod, Arbigny, Boissey",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.4288516402614,4.960045809996247,5,au moul'ain des saveurs
01570,FR,"Feillens, Manziat, Vésines, Asnières-sur-Saône",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.36849793685596,4.890093664775556,5,ainspiration chocolat
01150,FR,"Blyes, Souclin, Leyment, Sainte-Julie, Villebois, Vaux-en-Bugey, Chazey-sur-Ain, Lagnieu, Sault-Brénaz, Saint-Vulbas, Saint-Sorlin-en-Bugey",Auvergne-Rhône-Alpes,84.0,Ain,01,Belley,011,45.88647693157537,5.341514728480436,5,paint'a gone
01260,FR,"Champagne-en-Valromey, Le Grand-Abergement, Vieu, Brénaz, Ruffieu, Lompnieu, Haut Valromey, Sutrieu, Songieu, Hotonnes, Le Petit-Abergement, Belmont-Luthézieu, Virieu-le-Petit, Lochieu",Auvergne-Rhône-Alpes,84.0,Ain,01,Belley,011,45.96086606295889,5.686940501672911,5,ainpression 3d
01350,FR,"Ceyzérieu, Anglefort, Lavours, Béon, Cressin, Vongnes, Culoz, Flaxieu, Pollieu",Auvergne-Rhône-Alpes,84.0,Ain,01,Belley,011,45.83041932647735,5.767034823667802,5,ain'tension electricite
01250,FR,"Villereversure, Germagnat, Hautecourt-Romanèche, Ceyzériat, Revonnas, Saint-Just, Bohas-Meyriat-Rignat, Tossiat, Cize, Corveissiat, Chavannes-sur-Suran, Pouillat, Ramasse, Drom, Grand-Corent, Simandre-sur-Suran, Jasseron, Journans, Montagnat",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.207353370622336,5.387559986845532,5,epicerie gr'ain de sel
01200,FR,"Villes, Chézery, Injoux-Génissiat, Bellegarde-sur-Valserine, Lancrans, Léaz, Billiat, Montanges, Confort, Châtillon-en-Michaille, Éloise",Auvergne-Rhône-Alpes,84.0,Ain,01,Nantua,014,46.12148900522602,5.827240080546495,5,l'ain confort table
01200,FR,"Villes, Chézery, Injoux-Génissiat, Bellegarde-sur-Valserine, Lancrans, Léaz, Billiat, Montanges, Confort, Châtillon-en-Michaille, Éloise",Auvergne-Rhône-Alpes,84.0,Ain,01,Nantua,014,46.12454636359511,5.825866028759791,5,alp'ain taxi
01360,FR,"Béligneux, La Valbonne, Balan, Loyettes, Bressolles",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,45.84882261693029,5.135870493309491,5,ain'stall pac
01560,FR,"Vernoux, Courtes, Vescours, Lescheroux, Curciat-Dongalon, Mantenay-Montlin, Saint-Jean-sur-Reyssouze, Saint-Julien-sur-Reyssouze, Saint-Nizier-le-Bouchoux, Servignat, Cormoz, Saint-Trivier-de-Courtes",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.45274315127861,5.118375317200132,5,un gr'ain de beaute
01630,FR,"Sergy, Saint-Jean-de-Gonville, Péron, Challex, Saint-Genis-Pouilly",Auvergne-Rhône-Alpes,84.0,Ain,01,Gex,013,46.226084408169854,5.9790647925375255,5,bio jard'ain
01230,FR,"Saint-Rambert-en-Bugey, Cleyzieu, Nivollet, Évosges, Tenay, Arandas, Torcieu, Conand, Oncieu, Chaley, Argis",Auvergne-Rhône-Alpes,84.0,Ain,01,Belley,011,45.94072330158831,5.477206748007187,5,tout en m'ain
01240,FR,"Saint-Germain-sur-Renon, Saint-Paul-de-Varax, La Chapelle-du-Châtelard, Marlieux, Lent, Dompierre-sur-Veyle, Certines, Saint-André-le-Bouchoux",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.09634638824324,5.132682347643704,5,ain'stant pour soi
01250,FR,"Villereversure, Germagnat, Hautecourt-Romanèche, Ceyzériat, Revonnas, Saint-Just, Bohas-Meyriat-Rignat, Tossiat, Cize, Corveissiat, Chavannes-sur-Suran, Pouillat, Ramasse, Drom, Grand-Corent, Simandre-sur-Suran, Jasseron, Journans, Montagnat",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.20551203603978,5.386524183225449,5,le jard'ain foret
01310,FR,"Buellas, Curtafond, Saint-Rémy, Montcet, Montracol, Confrançon, Saint-Martin-le-Châtel, Polliat",Auvergne-Rhône-Alpes,84.0,Ain,01,Bourg-en-Bresse,012,46.23598655253521,5.120443894700604,5,taxi malain
